word,type,definition,alpha
grenadier,n., A member of a regiment composed of men of great stature,g
grief,n., Sorrow,g
grievous,adj., Creating affliction,g
grindstone,n.," A flat circular stone, used for sharpening tools",g
grisly,adj., Fear-inspiring,g
grotesque,adj., Incongruously composed or ill-proportioned,g
grotto,n., A small cavern,g
ground,n., A pavement or floor or any supporting surface on which one may walk,g
guess,n., Surmise,g
guile,n., Duplicity,g
guileless,adj., Frank,g
guinea,n., An English monetary unit,g
guise,n., The external appearance as produced by garb or costume,g
gullible,adj., Credulous,g
gumption,n., Common sense,g
gusto,n., Keen enjoyment,g
guy,n., Stay-rope,g
guzzle,v., To swallow greedily or hastily; gulp,g
gynecocracy,n., Female supremacy,g
gynecology,n., The science that treats of the functions and diseases peculiar to women,g
gyrate,v., To revolve,g
gyroscope,n., An instrument for illustrating the laws of rotation,g
habitable,adj., Fit to be dwelt in,h
habitant,n., Dweller,h
habitual,adj., According to usual practice,h
habitude,n., Customary relation or association,h
hackney,v., To make stale or trite by repetition,h
haggard,adj., Worn and gaunt in appearance,h
halcyon,adj., Calm,h
hale,adj., Of sound and vigorous health,h
handwriting,n., Penmanship,h
harangue,n., A tirade,h
harass,v.," To trouble with importunities, cares, or annoyances",h
hardihood,n., Foolish daring,h
harmonious,adj., Concordant in sound,h
havoc,n., Devastation,h
hawthorn,n., A thorny shrub much used in England for hedges,h
hazard,n., Risk,h
heartrending,adj., Very depressing,h
heathenish,adj., Irreligious,h
heedless,adj., Thoughtless,h
heifer,n., A young cow,h
heinous,adj., Odiously sinful,h
hemorrhage,n., Discharge of blood from a ruptured or wounded blood-vessel,h
henchman,n., A servile assistant and subordinate,h
henpeck,v., To worry or harass by ill temper and petty annoyances,h
heptagon,n., A figure having seven sides and seven angles,h
heptarchy,n., A group of seven governments,h
herbaceous,adj., Having the character of a herb,h
herbarium,n., A collection of dried plants scientifically arranged for study,h
herbivorous,adj.," Feeding on herbs or other vegetable matter, as animals",h
hereditary,adj., Passing naturally from parent to child,h
heresy,n., An opinion or doctrine subversive of settled beliefs or accepted principles,h
heritage,n., Birthright,h
hernia,n., Protrusion of any internal organ in whole or in part from its normal position,h
hesitancy,n., A pausing to consider,h
hesitant,adj., Vacillating,h
hesitation,n., Vacillation,h
heterodox,adj., At variance with any commonly accepted doctrine or opinion,h
heterogeneity,n., Unlikeness of constituent parts,h
heterogeneous,adj., Consisting of dissimilar elements or ingredients of different kinds,h
heteromorphic,adj., Deviating from the normal form or standard type,h
hexangular,adj., Having six angles,h
hexapod,adj., Having six feet,h
hexagon,n., A figure with six angles,h
hibernal,adj., Pertaining to winter,h
hibernian,adj.," Pertaining to Ireland, or its people",h
hideous,adj., Appalling,h
hilarious,adj., Boisterously merry,h
hillock,n., A small hill or mound,h
hinder,v., To obstruct,h
hindmost,adj., Farthest from the front,h
hindrance,n., An obstacle,h
hirsute,adj., Having a hairy covering,h
hoard,v., To gather and store away for the sake of accumulation,h
hoarse,adj.," Having the voice harsh or rough, as from a cold or fatigue",h
homage,n., Reverential regard or worship,h
homogeneity,n., Congruity of the members or elements or parts,h
homogeneous,adj., Made up of similar parts or elements,h
homologous,adj.," Identical in nature, make-up, or relation",h
homonym,n., A word agreeing in sound with but different in meaning from another,h
homophone,n., A word agreeing in sound with but different in meaning from another,h
honorarium,n., A token fee or payment to a professional man for services,h
hoodwink,v., To deceive,h
horde,n., A gathered multitude of human beings,h
hosiery,n., A stocking,h
hospitable,adj., Disposed to treat strangers or guests with generous kindness,h
hostility,n., Enmity,h
huckster,n., One who retails small wares,h
humane,adj., Compassionate,h
humanitarian,n., A philanthropist,h
humanize,v., To make gentle or refined,h
humbug,n., Anything intended or calculated to deceive or mislead,h
humiliate,v., To put to shame,h
hussar,n., A light-horse trooper armed with saber and carbine,h
hustle,v., To move with haste and promptness,h
hybrid,adj., Cross-bred,h
hydra,n., The seven- or nine-headed water-serpent slain by Hercules,h
hydraulic,adj.," Involving the moving of water, of the force exerted by water in motion",h
hydrodynamics,n., The branch of mechanics that treats of the dynamics of fluids,h
hydroelectric,adj., Pertaining to electricity developed water or steam,h
hydromechanics,n., The mechanics of fluids,h
hydrous,adj., Watery,h
hygiene,n., The branch of medical science that relates to improving health,h
hypercritical,adj., Faultfinding,h
hypnosis,n., An artificial trance-sleep,h
hypnotic,adj., Tending to produce sleep,h
hypocrisy,n., Extreme insincerity,h
hypocrite,n., One who makes false professions of his views or beliefs,h
hypodermic,adj., Pertaining to the area under the skin,h
hypotenuse,n., The side of a right-angled triangle opposite the right angle,h
hysteria,n., A nervous affection occurring typically in paroxysms of laughing and crying,h
ichthyic,adj., Fish-like,i
ichthyology,n., The branch of zoology that treats of fishes,i
ichthyosaurs,n., A fossil reptile,i
iciness,n., The state of being icy,i
icon,n., An image or likeness,i
iconoclast,n., An image-breaker,i
idealize,v., To make to conform to some mental or imaginary standard,i
idiom,n., A use of words peculiar to a particular language,i
idiosyncrasy,n., A mental quality or habit peculiar to an individual,i
idolize,v., To regard with inordinate love or admiration,i
ignoble,adj., Low in character or purpose,i
ignominious,adj., Shameful,i
iliad,n., A Greek epic poem describing scenes from the siege of Troy,i
illegal,adj., Not according to law,i
illegible,adj., Undecipherable,i
illegitimate,adj., Unlawfully begotten,i
illiberal,adj., Stingy,i
illicit,adj., Unlawful,i
illimitable,adj., Boundless,i
illiterate,adj., Having little or no book-learning,i
illogical,adj., Contrary to the rules of sound thought,i
illuminant,n., That which may be used to produce light,i
illuminate,v., To supply with light,i
illumine,v., To make bright or clear,i
illusion,n., An unreal image presented to the senses,i
illusive,adj., Deceptive,i
illusory,adj.," Deceiving or tending to deceive, as by false appearance",i
imaginable,adj., That can be imagined or conceived in the mind,i
imaginary,adj., Fancied,i
imbibe,v., To drink or take in,i
imbroglio,n.," A misunderstanding attended by ill feeling, perplexity, or strife",i
imbrue,v., To wet or moisten,i
imitation,n., That which is made as a likeness or copy,i
imitator,n., One who makes in imitation,i
immaculate,adj., Without spot or blemish,i
immaterial,adj., Of no essential consequence,i
immature,adj., Not full-grown,i
immeasurable,adj., Indefinitely extensive,i
immense,adj.," Very great in degree, extent, size, or quantity",i
immerse,v., To plunge or dip entirely under water or other fluid,i
immersion,n., The act of plunging or dipping entirely under water or another fluid,i
immigrant,n., A foreigner who enters a country to settle there,i
immigrate,v., To come into a country or region from a former habitat,i
imminence,n., Impending evil or danger,i
imminent,adj., Dangerous and close at hand,i
immiscible,adj.," Separating, as oil and water",i
immoral,adj., Habitually engaged in licentious or lewd practices,i
immovable,adj., Steadfast,i
immune,adj.," Exempt, as from disease",i
immutable,adj., Unchangeable,i
impair,v., To cause to become less or worse,i
impalpable,adj., Imperceptible to the touch,i
impartial,adj., Unbiased,i
impassable,adj., That can not be passed through or over,i
impassible,adj., Not moved or affected by feeling,i
impassive,adj., Unmoved by or not exhibiting feeling,i
impatience,n., Unwillingness to brook delays or wait the natural course of things,i
impeccable,adj., Blameless,i
impecunious,adj., Having no money,i
impede,v., To be an obstacle or to place obstacles in the way of,i
impel,v., To drive or urge forward,i
impend,v., To be imminent,i
imperative,adj., Obligatory,i
imperceptible,adj., Indiscernible,i
imperfectible,adj., That can not be perfected,i
imperil,v., To endanger,i
imperious,adj., Insisting on obedience,i
impermissible,adj., Not permissible,i
impersonal,adj., Not relating to a particular person or thing,i
impersonate,v., To appear or act in the character of,i
impersuadable,adj., Unyielding,i
impertinence,n., Rudeness,i
imperturbable,adj., Calm,i
impervious,adj., Impenetrable,i
impetuosity,n., Rashness,i
impetuous,adj., Impulsive,i
impetus,n., Any impulse or incentive,i
impiety,n., Irreverence toward God,i
impious,adj., Characterized by irreverence or irreligion,i
implausible,adj., Not plausible,i
impliable,adj., Capable of being inferred,i
implicate,v., To show or prove to be involved in or concerned ,i
implicit,adj., Implied,i
imply,v., To signify,i
impolitic,adj., Inexpedient,i
importation,n., The act or practice of bringing from one country into another,i
importunate,adj.," Urgent in character, request, or demand",i
importune,v., To harass with persistent demands or entreaties,i
impotent,adj.," Destitute of or lacking in power, physical, moral, or intellectual",i
impoverish,v., To make indigent or poor,i
impracticable,adj., Not feasible,i
impregnable,adj., That can not be taken by assault,i
impregnate,v., To make pregnant,i
impromptu,n., Anything done or said on the impulse of the moment,i
improper,adj.," Not appropriate, suitable, or becoming",i
impropriety,n.," The state or quality of being unfit, unseemly, or inappropriate",i
improvident,adj., Lacking foresight or thrift,i
improvise,v., To do anything extemporaneously or offhand,i
imprudent,adj., Heedless,i
impudence,n., Insolent disrespect,i
impugn,v.," To assail with arguments, insinuations, or accusations",i
impulsion,n., Impetus,i
impulsive,adj., Unpremeditated,i
impunity,n., Freedom from punishment,i
